"signal","domain","telemetry_source","rationale","mapped_ICICI_Lombard_products"
"Integration as a seller or buyer node on the ONDC network","Liability","Public business event / public disclosures","Subjects the startup to ONDC Issue and Grievance Management (IGM) and Online Dispute Resolution (ODR), creating multi-party accountability for product defects across a decentralized network.","ICICI Lombard Commercial General Liability (CGL) and Product Liability for third-party indemnifications arising from binding ODR settlements."
"Launching digital educational or interactive gaming modules targeting users under 18","Liability","Public business event / public disclosures","Triggers the highest protection tier of DPDP Rules 2025. Processing children's data without verifiable parental consent can create severe statutory penalty exposure, including penalties up to INR 200 crore per instance.","Cyber Liability with regulatory fines sub-limits, plus Directors and Officers (D&O) Liability for statutory defense costs."
"Publicly updating Terms of Service to include automated third-party AI or LLM decision-making","Liability","Public business event / public disclosures","Use of large language models for customer advisory introduces algorithmic bias and hallucination risks, which can lead to professional negligence claims if AI gives materially incorrect operational advice.","Errors and Omissions (E&O) / Professional Indemnity for technology services and automated advisory failures."
"Executing sublease agreements to monetize excess commercial real estate to unaffiliated micro-entities","Liability","Public business event / public disclosures","Converts the startup from a standard commercial tenant into a de facto commercial landlord, creating premises liability for bodily injury, fire spread, and damage caused by unvetted sub-tenants.","Commercial General Liability (CGL) with endorsements for sub-tenancy and extended premises liability."
"Appointing an external high-profile Data Protection Officer and announcing a compliance overhaul","Liability","Public business event / public disclosures","Publicly indicates a transition toward Significant Data Fiduciary obligations under the DPDP Act. The DPO mandate may expose historical data architecture breaches requiring regulatory response.","D&O Liability for the DPO and board, plus Cyber Liability."
"Pivoting from software-only SaaS to distributing white-labeled consumer hardware","Liability","Public business event / public disclosures","Moves the primary exposure from intangible software and data risk to bodily injury, property damage, product defect, and strict liability risks.","Product Liability, transitioning the account away from a purely technology E&O exposure profile."
"Initiating registration with the DPBI to operate as an authorized Consent Manager","Cyber and Financial Lines","Public business event / public disclosures","Enters a regulated intermediary class requiring net worth, audits, interoperability, and high uptime. Downtime or security failure can create multi-party data exposure.","Cyber Liability with higher capacity, plus E&O for systemic platform failures."
"Deploying checkout finance or BNPL through a regulated NBFC partner","Cyber and Financial Lines","Public business event / public disclosures","Can classify the startup as a Lending Service Provider under RBI digital lending guidelines. UI, consent, disclosure, or Key Fact Statement failures can compromise partner NBFC compliance.","E&O / Technology Professional Liability for non-compliant financial infrastructure."
"Publishing and open-sourcing proprietary internal API infrastructure to developer communities","Cyber and Financial Lines","Public business event / public disclosures","Expands digital attack surface. Vulnerabilities in open-source code can enable data exfiltration, DPDP violation notices, and reputational damage.","Cyber Liability for third-party breach response, forensics, and notification expenses."
"Migrating enterprise architecture from centralized on-premise servers to multi-cloud federated environments","Cyber and Financial Lines","Public business event / public disclosures","Data migration creates peak vulnerability. Misconfigured cloud access permissions are a common vector for major data breaches and mandatory breach reporting.","Cyber Liability with underwriting review of cloud security posture and incident response readiness."
"Mandating facial recognition or advanced biometric onboarding for application access","Cyber and Financial Lines","Public business event / public disclosures","Escalates the entity into highly sensitive personal data processing. Biometric breach creates irreversible privacy harm and higher regulatory sensitivity.","Cyber Liability with policy language addressing biometric data exposure and statutory penalty response."
"Announcing integration with TReDS platforms to discount MSME invoices as a supplier","Cyber and Financial Lines","Public business event / public disclosures","Indicates working-capital pressure and receivables monetization. Exposes the business to buyer default, counter-party failure, and factoring-chain risk.","Trade Credit Insurance against non-payment, insolvency, and protracted default."
