company,city,sector,stage,amount_inr,round,source,announced_on
Krutrim AI,Bangalore,Deeptech / AI / Robotics,Series A,2500000000,Series A,Economic Times,2024-02-10
Perfios,Bangalore,Fintech,Series B,2700000000,Series B,VCCircle,2024-01-22
Sarvam AI,Bangalore,Deeptech / AI / Robotics,Seed,410000000,Seed,TechCrunch,2024-03-05
Ultrahuman,Bangalore,Healthtech,Series B,3500000000,Series B,Inc42,2024-02-28
Increff,Bangalore,SaaS / Enterprise Software,Series A,850000000,Series A,Entrackr,2024-01-15
ElasticRun,Pune,Logistics / Mobility,Series B,2000000000,Series B+,Economic Times,2024-03-12
Kissht,Mumbai,Fintech,Series B,1500000000,Series B,VCCircle,2024-02-08
OneCard,Pune,Fintech,Series B,2400000000,Series B,TechCrunch,2024-01-30
Exotel,Bangalore,SaaS / Enterprise Software,Series B,1600000000,Series B,Inc42,2024-03-20
Purplle,Mumbai,D2C / Consumer Brands,Series B,3300000000,Series B,Economic Times,2024-02-14
Freo,Bangalore,Fintech,Series A,700000000,Series A,Entrackr,2024-03-01
Unacademy,Bangalore,Edtech,Series B,4500000000,Series B+,TechCrunch,2024-01-18
Infra.Market,Mumbai,B2B Commerce,Series B,4500000000,Series B+,VCCircle,2024-02-22
Verloop.io,Bangalore,SaaS / Enterprise Software,Series A,900000000,Series A,Inc42,2024-03-08
Yulu,Bangalore,Logistics / Mobility,Series B,1800000000,Series B,Economic Times,2024-02-05
Stashfin,Delhi,Fintech,Series B,1200000000,Series B,Entrackr,2024-03-15
Zypp Electric,Delhi,Logistics / Mobility,Series A,450000000,Series A,Inc42,2024-01-25
Zetwerk,Bangalore,B2B Commerce,Series B,2500000000,Series B+,TechCrunch,2024-02-18
Open Financial,Bangalore,Fintech,Series B,1500000000,Series B,VCCircle,2024-03-10
Dukaan,Bangalore,SaaS / Enterprise Software,Seed,300000000,Seed,Inc42,2024-01-12
